"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.adjacentSquare","test_adjacent_square","","","","test Python",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20200530_combinationSum","test_combinationSum","","","","test Python",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","1","src.test.java.challenges.a20201217_runningWater","test_running_water","","","","test Python",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20201217_runningWater","test_running_water","","","","test Python",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","1","src.test.java.challenges.adjacentSquare","test_adjacent_square","","","","test Python",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20200530_combinationSum","test_combinationSum","","","","test Python",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","1","src.test.java.challenges.a20200530_combinationSum","test_combinationSum","","","","test Python",""
"passed","Thu Nov 09 08:12:45 GMT 2023","Thu Nov 09 08:12:45 GMT 2023","1","","suite C#","","LargestNumberTest","ShouldCalculateTheLargestNumber","LargestNumber",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.training.graphs.a01_kingdom_roads.a01_new_road_system","test_solution","NewRoadSystemTest","","","test Case 01",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","1","src.test.java.challenges.a20201217_runningWater","test_running_water","","","","test Python",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20201115_spamClusterization","test_spamClusterization","SpamClusterizationTest","","","test Spam clusterization",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20201217_runningWater","test_running_water","","","","test Python",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20200530_combinationSum","test_combinationSum","","","","test Python",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20200530_combinationSum","test_combinationSum","","","","test Python",""
"passed","Thu Nov 09 08:15:03 GMT 2023","Thu Nov 09 08:15:03 GMT 2023","127","","suite Largest number","","training.core.LargestNumber.LargestNumberJavaTest","shouldCalculateNumber","Largest number test [3] 3, 999",""
"passed","Thu Nov 09 08:15:03 GMT 2023","Thu Nov 09 08:15:03 GMT 2023","129","","suite Largest number","","training.core.LargestNumber.LargestNumberKtTest","shouldCalculateNumber","Largest number test [2] 2, 99",""
"skipped","Thu Nov 09 08:15:03 GMT 2023","Thu Nov 09 08:15:03 GMT 2023","0","","suite Java","","meanValueGroups.GroupCalculatorTest","shouldReturnMeanGroups","test Mean groups",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20200530_combinationSum","test_combinationSum","","","","test Python",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.spiderMove","test_spider_move","","","","test Python",""
"passed","Thu Nov 09 08:15:03 GMT 2023","Thu Nov 09 08:15:03 GMT 2023","17","","suite Largest number","","training.core.LargestNumber.LargestNumberKtTest","shouldCalculateNumber","Largest number test [3] 3, 999",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","1","src.test.java.training.core.LargestNumber","test_largest_number","","","","test Python",""
"skipped","Thu Nov 09 08:15:03 GMT 2023","Thu Nov 09 08:15:03 GMT 2023","3","","suite Java","","firstDuplicate.TestDuplicates","shouldReturnDuplicate","test return duplicate",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20200530_combinationSum","test_combinationSum","","","","test Python",""
"passed","Thu Nov 09 08:15:03 GMT 2023","Thu Nov 09 08:15:03 GMT 2023","119","","suite Java","","mutateArr.TestMutator","shouldMutateArray","test Mutate array [1] 5, [4, 0, 1, -2, 3], [4, 5, -1, 2, 1]",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20200530_combinationSum","test_combinationSum","","","","test Python",""
"passed","Thu Nov 09 08:15:03 GMT 2023","Thu Nov 09 08:15:03 GMT 2023","118","","suite Java","","countPairs.CounterTest","shouldCounbtPairs","test Counbt pairs [2] [16, 1, 4, 2, 14], [7, 11, 2, 0, 15], 743, 4",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20200530_combinationSum","test_combinationSum","","","","test Python",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.adjacentSquare","test_adjacent_square","","","","test Python",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20201126_marathonTaskScore","test_marathon_task_score","","","","test Python",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","1","src.test.java.challenges.a20200530_combinationSum","test_combinationSum","","","","test Python",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","1","src.test.java.challenges.a20201217_runningWater","test_running_water","","","","test Python",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20201126_marathonTaskScore","test_marathon_task_score","","","","test Python",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.spiderMove","test_spider_move","","","","test Python",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20200530_combinationSum","test_combinationSum","","","","test Python",""
"passed","Thu Nov 09 08:15:03 GMT 2023","Thu Nov 09 08:15:03 GMT 2023","112","","suite Largest number","","training.core.LargestNumber.LargestNumberScalaTest","shouldCalculateNumber","Largest number test [2] input=2, expectedResult=99",""
"passed","Thu Nov 09 08:15:03 GMT 2023","Thu Nov 09 08:15:03 GMT 2023","2","","suite Java","","mutateArr.TestMutator","shouldMutateArray","test Mutate array [6] 0, [], []",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20200530_combinationSum","test_combinationSum","","","","test Python",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","1","src.test.java.challenges.a20200530_combinationSum","test_combinationSum","","","","test Python",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.adjacentSquare","test_adjacent_square","","","","test Python",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","1","src.test.java.challenges.spiderMove","test_spider_move","","","","test Python",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.adjacentSquare","test_adjacent_square","","","","test Python",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.spiderMove","test_spider_move","","","","test Python",""
"passed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.a20201217_runningWater","test_running_water","","","","test Python",""
"failed","Thu Nov 09 08:28:32 GMT 2023","Thu Nov 09 08:28:32 GMT 2023","0","src.test.java.challenges.adjacentSquare","test_adjacent_square","","","","test Python",""
